isin,exclude
AGP8696W1045,1
AT0000A21KS2,1
AT0000A3FW25,1
AU0000001661,1
AU0000005159,1
AU0000006934,1
AU0000007627,1
AU00000088E2,1
AU000000A3D7,1
AU000000ACR3,1
AU000000ACS1,1
AU000000ACW3,1
AU000000ADX9,1
AU000000ADY7,1
AU000000AEE7,1
AU000000AGR4,1
AU000000AGY0,1
AU000000AHF7,1
AU000000AJL1,1
AU000000AJX6,1
AU000000AKM7,1
AU000000ALY0,1
AU000000AMA8,1
AU000000AMC4,1
AU000000AMI1,1
AU000000AMN1,1
AU000000AON7,1
AU000000APX3,1
AU000000ARU5,1
AU000000ARV3,1
AU000000ASN8,1
AU000000ASP3,1
AU000000ATC9,1
AU000000AUC7,1
AU000000AUQ7,1
AU000000AUZ8,1
AU000000AVG6,1
AU000000AVL6,1
AU000000AZI3,1
AU000000BNR8,1
AU000000BRK4,1
AU000000BRN8,1
AU000000BSX5,1
AU000000BUX1,1
AU000000CAN2,1
AU000000CAV5,1
AU000000CCE7,1
AU000000CG18,1
AU000000CGO7,1
AU000000CLA6,1
AU000000CMM9,1
AU000000CNJ3,1
AU000000COB8,1
AU000000COY0,1
AU000000CTO0,1
AU000000CTP7,1
AU000000CXO2,1
AU000000CXU9,1
AU000000CXZ8,1
AU000000DCC9,1
AU000000DEV5,1
AU000000DKM1,1
AU000000DMG9,1
AU000000DTZ4,1
AU000000DUB3,1
AU000000EGL9,1
AU000000ELD6,1
AU000000ELT2,1
AU000000ENT8,1
AU000000EPM8,1
AU000000ERA9,1
AU000000ERM4,1
AU000000EUR7,1
AU000000EVS3,1
AU000000EXL4,1
AU000000FBR4,1
AU000000FFG8,1
AU000000FGR3,1
AU000000FLC5,1
AU000000GBE0,1
AU000000GBZ5,1
AU000000HLX7,1
AU000000HMX5,1
AU000000HOR3,1
AU000000HZN8,1
AU000000ICI5,1
AU000000IDA0,1
AU000000IMA1,1
AU000000IMC7,1
AU000000IMU9,1
AU000000IPD8,1
AU000000IRD4,1
AU000000IVR6,1
AU000000IVX4,1
AU000000JPR6,1
AU000000KAI5,1
AU000000KGL6,1
AU000000KP25,1
AU000000KPO1,1
AU000000KSN7,1
AU000000KZR3,1
AU000000LAM5,1
AU000000LIT3,1
AU000000LKE1,1
AU000000LMG2,1
AU000000LOM6,1
AU000000LSA2,1
AU000000MAT8,1
AU000000MCM9,1
AU000000MDI5,1
AU000000MEI3,1
AU000000MEM5,1
AU000000MHC9,1
AU000000MLX7,1
AU000000MMI6,1
AU000000MNB9,1
AU000000MRC8,1
AU000000MRR6,1
AU000000MTC4,1
AU000000NAG3,1
AU000000NGY3,1
AU000000NMT1,1
AU000000NOR1,1
AU000000NTU4,1
AU000000NWF9,1
AU000000NXM3,1
AU000000ODY8,1
AU000000OEC2,1
AU000000OEL3,1
AU000000OLI4,1
AU000000OPT2,1
AU000000PCL4,1
AU000000PEX5,1
AU000000PGM3,1
AU000000PGY8,1
AU000000PLL5,1
AU000000PNN7,1
AU000000POD6,1
AU000000PSC9,1
AU000000PTL8,1
AU000000PVE9,1
AU000000PWN8,1
AU000000PXX5,1
AU000000RCE5,1
AU000000RFG3,1
AU000000RFX8,1
AU000000RGL1,1
AU000000RHY2,1
AU000000RIC6,1
AU000000RMX4,1
AU000000RNU8,1
AU000000SBR7,1
AU000000SER1,1
AU000000SGQ8,1
AU000000SHV6,1
AU000000SPL0,1
AU000000SRN2,1
AU000000STM0,1
AU000000SUH8,1
AU000000SVL8,1
AU000000SVY1,1
AU000000SYA5,1
AU000000TAR7,1
AU000000TDO8,1
AU000000TEG2,1
AU000000TER9,1
AU000000THR2,1
AU000000TLM5,1
AU000000TMX0,1
AU000000TON7,1
AU000000TOU2,1
AU000000TPC7,1
AU000000TTT3,1
AU000000TYX5,1
AU000000VKA8,1
AU000000VML1,1
AU000000VRC9,1
AU000000WEC5,1
AU000000WLD8,1
AU000000WTC3,1
AU000000YOJ5,1
AU000000ZMI8,1
AU000000ZNC9,1
AU0000010464,1
AU0000021461,1
AU0000024275,1
AU0000025132,1
AU0000028367,1
AU0000028763,1
AU0000028979,1
AU0000031411,1
AU0000033946,1
AU0000035701,1
AU0000036949,1
AU0000040982,1
AU0000043945,1
AU0000047441,1
AU0000049033,1
AU0000052490,1
AU0000053373,1
AU0000053522,1
AU0000054587,1
AU0000058737,1
AU0000062440,1
AU0000066086,1
AU0000066169,1
AU0000067092,1
AU0000067936,1
AU0000068579,1
AU0000070328,1
AU0000071482,1
AU0000072019,1
AU0000072506,1
AU0000075954,1
AU0000077208,1
AU0000079212,1
AU0000081341,1
AU0000082422,1
AU0000086530,1
AU0000088338,1
AU0000090060,1
AU0000090292,1
AU0000102154,1
AU0000103087,1
AU0000104374,1
AU0000109910,1
AU0000111247,1
AU0000111395,1
AU0000115172,1
AU0000122251,1
AU0000125577,1
AU0000128787,1
AU0000129496,1
AU0000131849,1
AU0000134389,1
AU0000134694,1
AU0000136046,1
AU0000139974,1
AU0000139990,1
AU0000141137,1
AU0000141517,1
AU0000141533,1
AU0000142945,1
AU0000145815,1
AU0000146961,1
AU0000150351,1
AU0000151680,1
AU0000153256,1
AU0000153736,1
AU0000154833,1
AU0000155228,1
AU0000155335,1
AU0000156416,1
AU0000157455,1
AU0000157745,1
AU0000162281,1
AU0000166613,1
AU0000168627,1
AU0000177271,1
AU0000179640,1
AU0000180200,1
AU0000182263,1
AU0000182784,1
AU0000183253,1
AU0000186504,1
AU0000187239,1
AU0000187247,1
AU0000189029,1
AU0000192726,1
AU0000195380,1
AU0000196206,1
AU0000199929,1
AU0000200198,1
